Temperature Data for Maldives (derived from WMO normals and GSA data);;;;;;;
;;;;
Provider;Generated from WMO Climate Normals 1981-2010;;;;;;;;;;
2024.0;1.0;4.0;6.0;26.66;26.66;25.66;27.66;2;22.7;80;4.5
2024.0;1.0;4.0;7.0;28.29;28.29;27.29;29.29;2;24.3;80;4.5
2024.0;1.0;4.0;8.0;28.66;28.66;27.66;29.66;2;24.7;80;4.5
2024.0;1.0;4.0;9.0;27.9;27.9;26.90;28.90;2;23.9;80;4.5
2024.0;1.0;4.0;10.0;29.2;29.2;28.20;30.20;2;25.2;80;4.5
2024.0;1.0;4.0;11.0;30.09;30.09;29.09;31.09;2;26.1;80;4.5
2024.0;1.0;4.0;12.0;30.09;30.09;29.09;31.09;2;26.1;80;4.5
2024.0;1.0;4.0;13.0;29.83;29.83;28.83;30.83;2;25.8;80;4.5
2024.0;1.0;4.0;14.0;29.75;29.75;28.75;30.75;2;25.8;80;4.5
2024.0;1.0;4.0;15.0;32.11;32.11;31.11;33.11;2;28.1;80;4.5
2024.0;1.0;4.0;16.0;29.95;29.95;28.95;30.95;2;25.9;80;4.5
2024.0;1.0;4.0;17.0;30.24;30.24;29.24;31.24;2;26.2;80;4.5
2024.0;1.0;4.0;18.0;29.27;29.27;28.27;30.27;2;25.3;80;4.5
2024.0;1.0;4.0;19.0;30.23;30.23;29.23;31.23;2;26.2;80;4.5
2024.0;1.0;4.0;20.0;28.75;28.75;27.75;29.75;2;24.8;80;4.5
2024.0;1.0;4.0;21.0;28.3;28.3;27.30;29.30;2;24.3;80;4.5
2024.0;1.0;4.0;22.0;28.36;28.36;27.36;29.36;2;24.4;80;4.5
2024.0;1.0;4.0;23.0;25.89;25.89;24.89;26.89;2;21.9;80;4.5
2024.0;1.0;4.0;24.0;26.66;26.66;25.66;27.66;2;22.7;80;4.5
2024.0;1.0;5.0;1.0;26.46;26.46;25.46;27.46;2;22.5;80;4.5
2024.0;1.0;5.0;2.0;27.44;27.44;26.44;28.44;2;23.4;80;4.5
2024.0;1.0;5.0;3.0;26.33;26.33;25.33;27.33;2;22.3;80;4.5
2024.0;1.0;5.0;4.0;25.63;25.63;24.63;26.63;2;21.6;80;4.5
2024.0;1.0;5.0;5.0;25.98;25.98;24.98;26.98;2;22.0;80;4.5
2024.0;1.0;5.0;6.0;26.7;26.7;25.70;27.70;2;22.7;80;4.5
2024.0;1.0;5.0;7.0;27.09;27.09;26.09;28.09;2;23.1;80;4.5
2024.0;1.0;5.0;8.0;27.99;27.99;26.99;28.99;2;24.0;80;4.5
2024.0;1.0;5.0;9.0;28.36;28.36;27.36;29.36;2;24.4;80;4.5
2024.0;1.0;5.0;10.0;29.21;29.21;28.21;30.21;2;25.2;80;4.5
2024.0;1.0;5.0;11.0;29.82;29.82;28.82;30.82;2;25.8;80;4.5
2024.0;1.0;5.0;12.0;30.18;30.18;29.18;31.18;2;26.2;80;4.5
2024.0;1.0;5.0;13.0;30.51;30.51;29.51;31.51;2;26.5;80;4.5
2024.0;1.0;5.0;14.0;30.59;30.59;29.59;31.59;2;26.6;80;4.5
2024.0;1.0;5.0;15.0;30.38;30.38;29.38;31.38;2;26.4;80;4.5
2024.0;1.0;5.0;16.0;30.0;30.0;29.00;31.00;2;26.0;80;4.5
2024.0;1.0;5.0;17.0;29.63;29.63;28.63;30.63;2;25.6;80;4.5
2024.0;1.0;5.0;18.0;30.02;30.02;29.02;31.02;2;26.0;80;4.5
2024.0;1.0;5.0;19.0;29.44;29.44;28.44;30.44;2;25.4;80;4.5
2024.0;1.0;5.0;20.0;29.36;29.36;28.36;30.36;2;25.4;80;4.5
2024.0;1.0;5.0;21.0;28.28;28.28;27.28;29.28;2;24.3;80;4.5
2024.0;1.0;5.0;22.0;28.05;28.05;27.05;29.05;2;24.1;80;4.5
2024.0;1.0;5.0;23.0;27.29;27.29;26.29;28.29;2;23.3;80;4.5
2024.0;1.0;5.0;24.0;27.44;27.44;26.44;28.44;2;23.4;80;4.5
2024.0;1.0;6.0;1.0;27.23;27.23;26.23;28.23;2;23.2;80;4.5
2024.0;1.0;6.0;2.0;26.49;26.49;25.49;27.49;2;22.5;80;4.5
2024.0;1.0;6.0;3.0;26.6;26.6;25.60;27.60;2;22.6;80;4.5
2024.0;1.0;6.0;4.0;27.19;27.19;26.19;28.19;2;23.2;80;4.5
2024.0;1.0;6.0;5.0;26.11;26.11;25.11;27.11;2;22.1;80;4.5
2024.0;1.0;6.0;6.0;26.78;26.78;25.78;27.78;2;22.8;80;4.5
2024.0;1.0;6.0;7.0;27.62;27.62;26.62;28.62;2;23.6;80;4.5
2024.0;1.0;6.0;8.0;27.87;27.87;26.87;28.87;2;23.9;80;4.5
2024.0;1.0;6.0;9.0;28.37;28.37;27.37;29.37;2;24.4;80;4.5
2024.0;1.0;6.0;10.0;28.89;28.89;27.89;29.89;2;24.9;80;4.5
2024.0;1.0;6.0;11.0;28.73;28.73;27.73;29.73;2;24.7;80;4.5
2024.0;1.0;6.0;12.0;29.9;29.9;28.90;30.90;2;25.9;80;4.5
2024.0;1.0;6.0;13.0;30.17;30.17;29.17;31.17;2;26.2;80;4.5
2024.0;1.0;6.0;14.0;30.75;30.75;29.75;31.75;2;26.8;80;4.5
2024.0;1.0;6.0;15.0;30.4;30.4;29.40;31.40;2;26.4;80;4.5
2024.0;1.0;6.0;16.0;31.06;31.06;30.06;32.06;2;27.1;80;4.5
2024.0;1.0;6.0;17.0;30.18;30.18;29.18;31.18;2;26.2;80;4.5
2024.0;1.0;6.0;18.0;28.87;28.87;27.87;29.87;2;24.9;80;4.5
2024.0;1.0;6.0;19.0;29.78;29.78;28.78;30.78;2;25.8;80;4.5
2024.0;1.0;6.0;20.0;28.63;28.63;27.63;29.63;2;24.6;80;4.5
2024.0;1.0;6.0;21.0;27.69;27.69;26.69;28.69;2;23.7;80;4.5
2024.0;1.0;6.0;22.0;28.34;28.34;27.34;29.34;2;24.3;80;4.5
2024.0;1.0;6.0;23.0;27.21;27.21;26.21;28.21;2;23.2;80;4.5
2024.0;1.0;6.0;24.0;27.76;27.76;26.76;28.76;2;23.8;80;4.5
2024.0;1.0;7.0;1.0;27.02;27.02;26.02;28.02;2;23.0;80;4.5
2024.0;1.0;7.0;2.0;27.05;27.05;26.05;28.05;2;23.1;80;4.5
2024.0;1.0;7.0;3.0;26.28;26.28;25.28;27.28;2;22.3;80;4.5
2024.0;1.0;7.0;4.0;27.93;27.93;26.93;28.93;2;23.9;80;4.5
2024.0;1.0;7.0;5.0;26.76;26.76;25.76;27.76;2;22.8;80;4.5
2024.0;1.0;7.0;6.0;27.54;27.54;26.54;28.54;2;23.5;80;4.5
2024.0;1.0;7.0;7.0;27.25;27.25;26.25;28.25;2;23.2;80;4.5
2024.0;1.0;7.0;8.0;27.96;27.96;26.96;28.96;2;24.0;80;4.5
2024.0;1.0;7.0;9.0;28.36;28.36;27.36;29.36;2;24.4;80;4.5
2024.0;1.0;7.0;10.0;28.9;28.9;27.90;29.90;2;24.9;80;4.5
2024.0;1.0;7.0;11.0;29.43;29.43;28.43;30.43;2;25.4;80;4.5
2024.0;1.0;7.0;12.0;29.9;29.9;28.90;30.90;2;25.9;80;4.5
2024.0;1.0;7.0;13.0;29.95;29.95;28.95;30.95;2;25.9;80;4.5
2024.0;1.0;7.0;14.0;30.15;30.15;29.15;31.15;2;26.1;80;4.5
2024.0;1.0;7.0;15.0;31.01;31.01;30.01;32.01;2;27.0;80;4.5
2024.0;1.0;7.0;16.0;30.12;30.12;29.12;31.12;2;26.1;80;4.5
2024.0;1.0;7.0;17.0;30.31;30.31;29.31;31.31;2;26.3;80;4.5
2024.0;1.0;7.0;18.0;30.33;30.33;29.33;31.33;2;26.3;80;4.5
2024.0;1.0;7.0;19.0;29.56;29.56;28.56;30.56;2;25.6;80;4.5
2024.0;1.0;7.0;20.0;29.38;29.38;28.38;30.38;2;25.4;80;4.5
2024.0;1.0;7.0;21.0;28.5;28.5;27.50;29.50;2;24.5;80;4.5
2024.0;1.0;7.0;22.0;27.8;27.8;26.80;28.80;2;23.8;80;4.5
2024.0;1.0;7.0;23.0;26.79;26.79;25.79;27.79;2;22.8;80;4.5
2024.0;1.0;7.0;24.0;26.91;26.91;25.91;27.91;2;22.9;80;4.5
2024.0;1.0;8.0;1.0;26.91;26.91;25.91;27.91;2;22.9;80;4.5
2024.0;1.0;8.0;2.0;26.41;26.41;25.41;27.41;2;22.4;80;4.5
2024.0;1.0;8.0;3.0;25.89;25.89;24.89;26.89;2;21.9;80;4.5
2024.0;1.0;8.0;4.0;25.64;25.64;24.64;26.64;2;21.6;80;4.5
2024.0;1.0;8.0;5.0;26.97;26.97;25.97;27.97;2;23.0;80;4.5
2024.0;1.0;8.0;6.0;27.0;27.0;26.00;28.00;2;23.0;80;4.5
2024.0;1.0;8.0;7.0;27.03;27.03;26.03;28.03;2;23.0;80;4.5
2024.0;1.0;8.0;8.0;27.71;27.71;26.71;28.71;2;23.7;80;4.5
2024.0;1.0;8.0;9.0;28.71;28.71;27.71;29.71;2;24.7;80;4.5
2024.0;1.0;8.0;10.0;29.73;29.73;28.73;30.73;2;25.7;80;4.5
2024.0;1.0;8.0;11.0;29.4;29.4;28.40;30.40;2;25.4;80;4.5
2024.0;1.0;8.0;12.0;30.22;30.22;29.22;31.22;2;26.2;80;4.5
2024.0;1.0;8.0;13.0;29.65;29.65;28.65;30.65;2;25.6;80;4.5
2024.0;1.0;8.0;14.0;30.67;30.67;29.67;31.67;2;26.7;80;4.5
2024.0;1.0;8.0;15.0;30.86;30.86;29.86;31.86;2;26.9;80;4.5
2024.0;1.0;8.0;16.0;30.36;30.36;29.36;31.36;2;26.4;80;4.5
2024.0;1.0;8.0;17.0;29.69;29.69;28.69;30.69;2;25.7;80;4.5
2024.0;1.0;8.0;18.0;30.25;30.25;29.25;31.25;2;26.2;80;4.5
2024.0;1.0;8.0;19.0;29.05;29.05;28.05;30.05;2;25.1;80;4.5
2024.0;1.0;8.0;20.0;29.22;29.22;28.22;30.22;2;25.2;80;4.5
2024.0;1.0;8.0;21.0;28.9;28.9;27.90;29.90;2;24.9;80;4.5
2024.0;1.0;8.0;22.0;28.05;28.05;27.05;29.05;2;24.1;80;4.5
2024.0;1.0;8.0;23.0;27.8;27.8;26.80;28.80;2;23.8;80;4.5
2024.0;1.0;8.0;24.0;26.5;26.5;25.50;27.50;2;22.5;80;4.5
2024.0;1.0;9.0;1.0;27.09;27.09;26.09;28.09;2;23.1;80;4.5
2024.0;1.0;9.0;2.0;26.88;26.88;25.88;27.88;2;22.9;80;4.5
2024.0;1.0;9.0;3.0;26.99;26.99;25.99;27.99;2;23.0;80;4.5
2024.0;1.0;9.0;4.0;26.66;26.66;25.66;27.66;2;22.7;80;4.5
2024.0;1.0;9.0;5.0;26.73;26.73;25.73;27.73;2;22.7;80;4.5
2024.0;1.0;9.0;6.0;26.93;26.93;25.93;27.93;2;22.9;80;4.5
2024.0;1.0;9.0;7.0;27.34;27.34;26.34;28.34;2;23.3;80;4.5
2024.0;1.0;9.0;8.0;28.26;28.26;27.26;29.26;2;24.3;80;4.5
2024.0;1.0;9.0;9.0;28.24;28.24;27.24;29.24;2;24.2;80;4.5
2024.0;1.0;9.0;10.0;29.2;29.2;28.20;30.20;2;25.2;80;4.5
2024.0;1.0;9.0;11.0;28.93;28.93;27.93;29.93;2;24.9;80;4.5
2024.0;1.0;9.0;12.0;29.57;29.57;28.57;30.57;2;25.6;80;4.5
2024.0;1.0;9.0;13.0;29.86;29.86;28.86;30.86;2;25.9;80;4.5
2024.0;1.0;9.0;14.0;29.89;29.89;28.89;30.89;2;25.9;80;4.5
2024.0;1.0;9.0;15.0;30.53;30.53;29.53;31.53;2;26.5;80;4.5
2024.0;1.0;9.0;16.0;29.54;29.54;28.54;30.54;2;25.5;80;4.5
2024.0;1.0;9.0;17.0;30.44;30.44;29.44;31.44;2;26.4;80;4.5
2024.0;1.0;9.0;18.0;30.37;30.37;29.37;31.37;2;26.4;80;4.5
2024.0;1.0;9.0;19.0;29.03;29.03;28.03;30.03;2;25.0;80;4.5
2024.0;1.0;9.0;20.0;28.48;28.48;27.48;29.48;2;24.5;80;4.5
2024.0;1.0;9.0;21.0;28.3;28.3;27.30;29.30;2;24.3;80;4.5
2024.0;1.0;9.0;22.0;27.85;27.85;26.85;28.85;2;23.9;80;4.5
2024.0;1.0;9.0;23.0;27.31;27.31;26.31;28.31;2;23.3;80;4.5
2024.0;1.0;9.0;24.0;27.31;27.31;26.31;28.31;2;23.3;80;4.5
2024.0;1.0;10.0;1.0;25.93;25.93;24.93;26.93;2;21.9;80;4.5
2024.0;1.0;10.0;2.0;26.98;26.98;25.98;27.98;2;23.0;80;4.5
2024.0;1.0;10.0;3.0;26.3;26.3;25.30;27.30;2;22.3;80;4.5
2024.0;1.0;10.0;4.0;26.65;26.65;25.65;27.65;2;22.6;80;4.5
2024.0;1.0;10.0;5.0;26.91;26.91;25.91;27.91;2;22.9;80;4.5
2024.0;1.0;10.0;6.0;27.25;27.25;26.25;28.25;2;23.2;80;4.5
2024.0;1.0;10.0;7.0;27.96;27.96;26.96;28.96;2;24.0;80;4.5
2024.0;1.0;10.0;8.0;28.99;28.99;27.99;29.99;2;25.0;80;4.5
2024.0;1.0;10.0;9.0;28.38;28.38;27.38;29.38;2;24.4;80;4.5
2024.0;1.0;10.0;10.0;29.92;29.92;28.92;30.92;2;25.9;80;4.5
2024.0;1.0;10.0;11.0;29.91;29.91;28.91;30.91;2;25.9;80;4.5
2024.0;1.0;10.0;12.0;29.76;29.76;28.76;30.76;2;25.8;80;4.5
2024.0;1.0;10.0;13.0;29.59;29.59;28.59;30.59;2;25.6;80;4.5
2024.0;1.0;10.0;14.0;29.81;29.81;28.81;30.81;2;25.8;80;4.5
2024.0;1.0;10.0;15.0;30.44;30.44;29.44;31.44;2;26.4;80;4.5
2024.0;1.0;10.0;16.0;30.62;30.62;29.62;31.62;2;26.6;80;4.5
2024.0;1.0;10.0;17.0;30.28;30.28;29.28;31.28;2;26.3;80;4.5
2024.0;1.0;10.0;18.0;29.87;29.87;28.87;30.87;2;25.9;80;4.5
2024.0;1.0;10.0;19.0;29.82;29.82;28.82;30.82;2;25.8;80;4.5
2024.0;1.0;10.0;20.0;29.38;29.38;28.38;30.38;2;25.4;80;4.5
2024.0;1.0;10.0;21.0;28.18;28.18;27.18;29.18;2;24.2;80;4.5
2024.0;1.0;10.0;22.0;28.18;28.18;27.18;29.18;2;24.2;80;4.5
2024.0;1.0;10.0;23.0;27.9;27.9;26.90;28.90;2;23.9;80;4.5
2024.0;1.0;10.0;24.0;27.69;27.69;26.69;28.69;2;23.7;80;4.5
2024.0;1.0;11.0;1.0;26.46;26.46;25.46;27.46;2;22.5;80;4.5
2024.0;1.0;11.0;2.0;26.94;26.94;25.94;27.94;2;22.9;80;4.5
2024.0;1.0;11.0;3.0;26.23;26.23;25.23;27.23;2;22.2;80;4.5
2024.0;1.0;11.0;4.0;26.8;26.8;25.80;27.80;2;22.8;80;4.5
2024.0;1.0;11.0;5.0;26.34;26.34;25.34;27.34;2;22.3;80;4.5
2024.0;1.0;11.0;6.0;27.42;27.42;26.42;28.42;2;23.4;80;4.5
2024.0;1.0;11.0;7.0;28.08;28.08;27.08;29.08;2;24.1;80;4.5
2024.0;1.0;11.0;8.0;27.35;27.35;26.35;28.35;2;23.4;80;4.5
2024.0;1.0;11.0;9.0;27.77;27.77;26.77;28.77;2;23.8;80;4.5
2024.0;1.0;11.0;10.0;28.8;28.8;27.80;29.80;2;24.8;80;4.5
2024.0;1.0;11.0;11.0;29.76;29.76;28.76;30.76;2;25.8;80;4.5
2024.0;1.0;11.0;12.0;29.56;29.56;28.56;30.56;2;25.6;80;4.5
2024.0;1.0;11.0;13.0;29.8;29.8;28.80;30.80;2;25.8;80;4.5
2024.0;1.0;11.0;14.0;29.91;29.91;28.91;30.91;2;25.9;80;4.5
2024.0;1.0;11.0;15.0;30.53;30.53;29.53;31.53;2;26.5;80;4.5
2024.0;1.0;11.0;16.0;30.9;30.9;29.90;31.90;2;26.9;80;4.5
2024.0;1.0;11.0;17.0;30.79;30.79;29.79;31.79;2;26.8;80;4.5
2024.0;1.0;11.0;18.0;29.63;29.63;28.63;30.63;2;25.6;80;4.5
2024.0;1.0;11.0;19.0;30.42;30.42;29.42;31.42;2;26.4;80;4.5
2024.0;1.0;11.0;20.0;29.63;29.63;28.63;30.63;2;25.6;80;4.5
2024.0;1.0;11.0;21.0;29.17;29.17;28.17;30.17;2;25.2;80;4.5
2024.0;1.0;11.0;22.0;28.38;28.38;27.38;29.38;2;24.4;80;4.5
2024.0;1.0;11.0;23.0;26.82;26.82;25.82;27.82;2;22.8;80;4.5
2024.0;1.0;11.0;24.0;27.47;27.47;26.47;28.47;2;23.5;80;4.5
2024.0;1.0;12.0;1.0;27.39;27.39;26.39;28.39;2;23.4;80;4.5
2024.0;1.0;12.0;2.0;25.84;25.84;24.84;26.84;2;21.8;80;4.5
2024.0;1.0;12.0;3.0;25.57;25.57;24.57;26.57;2;21.6;80;4.5
2024.0;1.0;12.0;4.0;26.44;26.44;25.44;27.44;2;22.4;80;4.5
2024.0;1.0;12.0;5.0;27.67;27.67;26.67;28.67;2;23.7;80;4.5
2024.0;1.0;12.0;6.0;26.68;26.68;25.68;27.68;2;22.7;80;4.5
2024.0;1.0;12.0;7.0;27.35;27.35;26.35;28.35;2;23.4;80;4.5
2024.0;1.0;12.0;8.0;28.57;28.57;27.57;29.57;2;24.6;80;4.5
2024.0;1.0;12.0;9.0;28.37;28.37;27.37;29.37;2;24.4;80;4.5
2024.0;1.0;12.0;10.0;29.27;29.27;28.27;30.27;2;25.3;80;4.5
2024.0;1.0;12.0;11.0;29.75;29.75;28.75;30.75;2;25.8;80;4.5
2024.0;1.0;12.0;12.0;30.19;30.19;29.19;31.19;2;26.2;80;4.5
2024.0;1.0;12.0;13.0;30.45;30.45;29.45;31.45;2;26.4;80;4.5
2024.0;1.0;12.0;14.0;30.64;30.64;29.64;31.64;2;26.6;80;4.5
2024.0;1.0;12.0;15.0;30.65;30.65;29.65;31.65;2;26.6;80;4.5
2024.0;1.0;12.0;16.0;29.92;29.92;28.92;30.92;2;25.9;80;4.5
2024.0;1.0;12.0;17.0;29.85;29.85;28.85;30.85;2;25.9;80;4.5
2024.0;1.0;12.0;18.0;29.6;29.6;28.60;30.60;2;25.6;80;4.5
2024.0;1.0;12.0;19.0;28.12;28.12;27.12;29.12;2;24.1;80;4.5
2024.0;1.0;12.0;20.0;29.53;29.53;28.53;30.53;2;25.5;80;4.5
2024.0;1.0;12.0;21.0;27.8;27.8;26.80;28.80;2;23.8;80;4.5
2024.0;1.0;12.0;22.0;27.55;27.55;26.55;28.55;2;23.6;80;4.5
2024.0;1.0;12.0;23.0;29.09;29.09;28.09;30.09;2;25.1;80;4.5
2024.0;1.0;12.0;24.0;26.38;26.38;25.38;27.38;2;22.4;80;4.5
2024.0;1.0;13.0;1.0;26.47;26.47;25.47;27.47;2;22.5;80;4.5
2024.0;1.0;13.0;2.0;26.87;26.87;25.87;27.87;2;22.9;80;4.5
2024.0;1.0;13.0;3.0;26.69;26.69;25.69;27.69;2;22.7;80;4.5
2024.0;1.0;13.0;4.0;26.8;26.8;25.80;27.80;2;22.8;80;4.5
2024.0;1.0;13.0;5.0;26.8;26.8;25.80;27.80;2;22.8;80;4.5
2024.0;1.0;13.0;6.0;26.82;26.82;25.82;27.82;2;22.8;80;4.5
2024.0;1.0;13.0;7.0;27.64;27.64;26.64;28.64;2;23.6;80;4.5
