HelioClim-3 Database of Solar Irradiance v5 (derived from satellite data);;;;;;;
;;;;
Provider;MINES ParisTech / Armines / Transvalor (France);;;;;;;;;;
2024.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;3.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;3.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;3.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;3.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;3.0;6.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;3.0;7.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;3.0;8.0;60.9;60.9;51.8;70.0;2.0;296.0;77.4;60.9
2024.0;1.0;3.0;9.0;337.7;337.7;287.0;388.4;2.0;609.0;314.2;337.7
2024.0;1.0;3.0;10.0;434.7;434.7;369.5;500.0;2.0;877.8;554.3;434.7
2024.0;1.0;3.0;11.0;653.2;653.2;555.2;751.1;2.0;1084.1;747.1;653.2
2024.0;1.0;3.0;12.0;918.7;918.7;780.9;1056.4;2.0;1213.8;870.5;918.7
2024.0;1.0;3.0;13.0;779.1;779.1;662.2;895.9;2.0;1258.0;912.8;779.1
2024.0;1.0;3.0;14.0;890.6;890.6;757.1;1024.2;2.0;1213.8;870.5;890.6
2024.0;1.0;3.0;15.0;573.0;573.0;487.0;659.0;2.0;1084.1;747.1;573.0
2024.0;1.0;3.0;16.0;518.5;518.5;440.7;596.2;2.0;877.8;554.3;518.5
2024.0;1.0;3.0;17.0;276.1;276.1;234.7;317.6;2.0;609.0;314.2;276.1
2024.0;1.0;3.0;18.0;64.0;64.0;54.4;73.6;2.0;296.0;77.4;64.0
2024.0;1.0;3.0;19.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;3.0;20.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;3.0;21.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;3.0;22.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;3.0;23.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;3.0;24.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;4.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;4.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;4.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;4.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;4.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;4.0;6.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;4.0;7.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;4.0;8.0;71.3;71.3;60.6;82.1;2.0;296.4;77.6;71.3
2024.0;1.0;4.0;9.0;291.2;291.2;247.5;334.8;2.0;609.6;314.7;291.2
2024.0;1.0;4.0;10.0;483.4;483.4;411.0;556.0;2.0;878.6;555.0;483.4
2024.0;1.0;4.0;11.0;632.1;632.1;537.3;727.0;2.0;1085.0;747.9;632.1
2024.0;1.0;4.0;12.0;731.4;731.4;621.7;841.1;2.0;1214.7;871.5;731.4
2024.0;1.0;4.0;13.0;704.4;704.4;598.8;810.2;2.0;1259.0;913.9;704.4
2024.0;1.0;4.0;14.0;834.0;834.0;708.9;959.0;2.0;1214.7;871.5;834.0
2024.0;1.0;4.0;15.0;614.6;614.6;522.4;706.8;2.0;1085.0;747.9;614.6
2024.0;1.0;4.0;16.0;537.5;537.5;457.0;618.2;2.0;878.6;555.0;537.5
2024.0;1.0;4.0;17.0;304.0;304.0;258.4;349.6;2.0;609.6;314.7;304.0
2024.0;1.0;4.0;18.0;71.3;71.3;60.6;82.1;2.0;296.4;77.6;71.3
2024.0;1.0;4.0;19.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;4.0;20.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;4.0;21.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;4.0;22.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;4.0;23.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;4.0;24.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;5.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;5.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;5.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;5.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;5.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;5.0;6.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;5.0;7.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;5.0;8.0;69.8;69.8;59.3;80.4;2.0;296.8;77.9;69.8
2024.0;1.0;5.0;9.0;253.5;253.5;215.4;291.5;2.0;610.3;315.3;253.5
2024.0;1.0;5.0;10.0;435.2;435.2;369.9;500.5;2.0;879.4;555.8;435.2
2024.0;1.0;5.0;11.0;568.2;568.2;483.0;653.5;2.0;1086.0;748.8;568.2
2024.0;1.0;5.0;12.0;705.6;705.6;599.7;811.4;2.0;1215.8;872.5;705.6
2024.0;1.0;5.0;13.0;760.9;760.9;646.7;875.0;2.0;1260.1;914.9;760.9
2024.0;1.0;5.0;14.0;832.4;832.4;707.6;957.2;2.0;1215.8;872.5;832.4
2024.0;1.0;5.0;15.0;594.3;594.3;505.2;683.5;2.0;1086.0;748.8;594.3
2024.0;1.0;5.0;16.0;530.3;530.3;450.8;610.0;2.0;879.4;555.8;530.3
2024.0;1.0;5.0;17.0;276.6;276.6;235.2;318.2;2.0;610.3;315.3;276.6
2024.0;1.0;5.0;18.0;80.5;80.5;68.3;92.5;2.0;296.8;77.9;80.5
2024.0;1.0;5.0;19.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;5.0;20.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;5.0;21.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;5.0;22.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;5.0;23.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;5.0;24.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;6.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;6.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;6.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;6.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;6.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;6.0;6.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;6.0;7.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;6.0;8.0;72.4;72.4;61.5;83.3;2.0;297.2;78.1;72.4
2024.0;1.0;6.0;9.0;327.5;327.5;278.3;376.6;2.0;610.9;315.9;327.5
2024.0;1.0;6.0;10.0;523.6;523.6;445.1;602.2;2.0;880.3;556.6;523.6
2024.0;1.0;6.0;11.0;601.3;601.3;511.1;691.5;2.0;1087.0;749.8;601.3
2024.0;1.0;6.0;12.0;844.4;844.4;717.8;971.1;2.0;1216.9;873.5;844.4
2024.0;1.0;6.0;13.0;924.3;924.3;785.6;1062.8;2.0;1261.2;916.0;924.3
2024.0;1.0;6.0;14.0;779.1;779.1;662.3;896.0;2.0;1216.9;873.5;779.1
2024.0;1.0;6.0;15.0;764.1;764.1;649.4;878.6;2.0;1087.0;749.8;764.1
2024.0;1.0;6.0;16.0;540.0;540.0;459.0;621.0;2.0;880.3;556.6;540.0
2024.0;1.0;6.0;17.0;254.5;254.5;216.3;292.7;2.0;610.9;315.9;254.5
2024.0;1.0;6.0;18.0;83.1;83.1;70.5;95.5;2.0;297.2;78.1;83.1
2024.0;1.0;6.0;19.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;6.0;20.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;6.0;21.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;6.0;22.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;6.0;23.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;6.0;24.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;7.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;7.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;7.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;7.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;7.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;7.0;6.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;7.0;7.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;7.0;8.0;79.0;79.0;67.0;90.8;2.0;297.7;78.5;79.0
2024.0;1.0;7.0;9.0;336.5;336.5;286.0;387.0;2.0;611.6;316.5;336.5
2024.0;1.0;7.0;10.0;448.1;448.1;380.8;515.3;2.0;881.2;557.4;448.1
2024.0;1.0;7.0;11.0;691.2;691.2;587.5;794.8;2.0;1088.1;750.8;691.2
2024.0;1.0;7.0;12.0;846.1;846.1;719.2;973.0;2.0;1218.1;874.7;846.1
2024.0;1.0;7.0;13.0;786.5;786.5;668.6;904.5;2.0;1262.4;917.2;786.5
2024.0;1.0;7.0;14.0;887.2;887.2;754.1;1020.3;2.0;1218.1;874.7;887.2
2024.0;1.0;7.0;15.0;591.1;591.1;502.5;679.7;2.0;1088.1;750.8;591.1
2024.0;1.0;7.0;16.0;563.9;563.9;479.3;648.4;2.0;881.2;557.4;563.9
2024.0;1.0;7.0;17.0;324.7;324.7;276.0;373.4;2.0;611.6;316.5;324.7
2024.0;1.0;7.0;18.0;83.3;83.3;70.7;95.7;2.0;297.7;78.5;83.3
2024.0;1.0;7.0;19.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;7.0;20.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;7.0;21.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;7.0;22.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;7.0;23.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;7.0;24.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;8.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;8.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;8.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;8.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;8.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;8.0;6.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;8.0;7.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;8.0;8.0;80.1;80.1;68.0;92.0;2.0;298.2;78.8;80.1
2024.0;1.0;8.0;9.0;276.4;276.4;235.0;317.9;2.0;612.3;317.1;276.4
2024.0;1.0;8.0;10.0;513.0;513.0;436.0;589.9;2.0;882.1;558.3;513.0
2024.0;1.0;8.0;11.0;696.3;696.3;591.8;800.7;2.0;1089.2;751.9;696.3
2024.0;1.0;8.0;12.0;931.9;931.9;792.1;1071.7;2.0;1219.3;875.9;931.9
2024.0;1.0;8.0;13.0;861.8;861.8;732.5;991.0;2.0;1263.7;918.4;861.8
2024.0;1.0;8.0;14.0;810.9;810.9;689.2;932.5;2.0;1219.3;875.9;810.9
2024.0;1.0;8.0;15.0;782.0;782.0;664.8;899.3;2.0;1089.2;751.9;782.0
2024.0;1.0;8.0;16.0;571.0;571.0;485.3;656.7;2.0;882.1;558.3;571.0
2024.0;1.0;8.0;17.0;246.8;246.8;209.7;283.7;2.0;612.3;317.1;246.8
2024.0;1.0;8.0;18.0;62.9;62.9;53.4;72.3;2.0;298.2;78.8;62.9
2024.0;1.0;8.0;19.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;8.0;20.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;8.0;21.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;8.0;22.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;8.0;23.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;8.0;24.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;9.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;9.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;9.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;9.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;9.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;9.0;6.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;9.0;7.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;9.0;8.0;76.5;76.5;65.1;88.1;2.0;298.7;79.1;76.5
2024.0;1.0;9.0;9.0;337.8;337.8;287.2;388.4;2.0;613.1;317.8;337.8
2024.0;1.0;9.0;10.0;443.4;443.4;376.9;509.9;2.0;883.1;559.2;443.4
2024.0;1.0;9.0;11.0;624.0;624.0;530.4;717.7;2.0;1090.3;753.0;624.0
2024.0;1.0;9.0;12.0;904.0;904.0;768.4;1039.6;2.0;1220.6;877.1;904.0
2024.0;1.0;9.0;13.0;972.6;972.6;826.7;1118.4;2.0;1265.0;919.7;972.6
2024.0;1.0;9.0;14.0;936.0;936.0;795.5;1076.4;2.0;1220.6;877.1;936.0
2024.0;1.0;9.0;15.0;673.6;673.6;572.6;774.7;2.0;1090.3;753.0;673.6
2024.0;1.0;9.0;16.0;513.9;513.9;436.8;591.0;2.0;883.1;559.2;513.9
2024.0;1.0;9.0;17.0;251.7;251.7;213.9;289.4;2.0;613.1;317.8;251.7
2024.0;1.0;9.0;18.0;81.4;81.4;69.1;93.6;2.0;298.7;79.1;81.4
2024.0;1.0;9.0;19.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;9.0;20.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;9.0;21.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;9.0;22.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;9.0;23.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;9.0;24.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;10.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;10.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;10.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;10.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;10.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;10.0;6.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;10.0;7.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;10.0;8.0;81.0;81.0;68.8;93.2;2.0;299.2;79.4;81.0
2024.0;1.0;10.0;9.0;290.5;290.5;246.9;334.0;2.0;613.9;318.5;290.5
2024.0;1.0;10.0;10.0;476.5;476.5;405.1;548.0;2.0;884.2;560.2;476.5
2024.0;1.0;10.0;11.0;788.9;788.9;670.6;907.2;2.0;1091.6;754.2;788.9
2024.0;1.0;10.0;12.0;700.3;700.3;595.2;805.3;2.0;1221.9;878.4;700.3
2024.0;1.0;10.0;13.0;822.8;822.8;699.3;946.1;2.0;1266.4;921.0;822.8
2024.0;1.0;10.0;14.0;691.6;691.6;587.9;795.4;2.0;1221.9;878.4;691.6
2024.0;1.0;10.0;15.0;724.4;724.4;615.8;833.1;2.0;1091.6;754.2;724.4
2024.0;1.0;10.0;16.0;565.4;565.4;480.5;650.1;2.0;884.2;560.2;565.4
2024.0;1.0;10.0;17.0;274.5;274.5;233.3;315.7;2.0;613.9;318.5;274.5
2024.0;1.0;10.0;18.0;63.8;63.8;54.3;73.4;2.0;299.2;79.4;63.8
2024.0;1.0;10.0;19.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;10.0;20.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;10.0;21.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;10.0;22.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;10.0;23.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;10.0;24.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;11.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;11.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;11.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;11.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;11.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;11.0;6.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;11.0;7.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;11.0;8.0;69.7;69.7;59.3;80.2;2.0;299.7;79.8;69.7
2024.0;1.0;11.0;9.0;312.9;312.9;265.9;359.8;2.0;614.7;319.2;312.9
2024.0;1.0;11.0;10.0;518.3;518.3;440.5;596.0;2.0;885.2;561.2;518.3
2024.0;1.0;11.0;11.0;623.7;623.7;530.1;717.3;2.0;1092.8;755.4;623.7
2024.0;1.0;11.0;12.0;846.8;846.8;719.8;973.9;2.0;1223.3;879.7;846.8
2024.0;1.0;11.0;13.0;698.9;698.9;594.1;803.7;2.0;1267.8;922.4;698.9
2024.0;1.0;11.0;14.0;739.7;739.7;628.8;850.7;2.0;1223.3;879.7;739.7
2024.0;1.0;11.0;15.0;696.4;696.4;592.0;800.9;2.0;1092.8;755.4;696.4
2024.0;1.0;11.0;16.0;508.7;508.7;432.3;584.9;2.0;885.2;561.2;508.7
2024.0;1.0;11.0;17.0;246.1;246.1;209.1;282.9;2.0;614.7;319.2;246.1
2024.0;1.0;11.0;18.0;84.3;84.3;71.6;97.0;2.0;299.7;79.8;84.3
2024.0;1.0;11.0;19.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;11.0;20.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;11.0;21.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;11.0;22.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;11.0;23.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;11.0;24.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;12.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;12.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;12.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;12.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
